Original,Mapped
ACCont_In,AwNqIPEQ
AC_modState,OBfhmWiv
ADC1_StartConv,thMjlcYB
ALARM_ACCONT,ZTBhvKpr
ALARM_ADD,NtEHhmyO
ALARM_AX,pPJoDFGV
ALARM_BMS_COM,LawnzCAD
ALARM_BREAKER,iuUSELwN
ALARM_CC1,yRYnbVbQ
ALARM_DCCONT,uaGATmjz
ALARM_DCCONT_NEG_REJECT,nghdmJNU
ALARM_DCCONT_NEG_STICK,QoJnGyXn
ALARM_DCCONT_POS_REJECT,mIDgStbj
ALARM_DCCONT_POS_STICK,JnceoUlF
ALARM_DEL,BOuGWzam
ALARM_DISCHARGE,fSaLSZaj
ALARM_DOOR,hIoiiPgf
ALARM_END_CODE,UPyCCFoS
ALARM_EPO,ulAqhSPu
ALARM_FAN,RETeEXAn
ALARM_FUSE,IbjiOMIQ
ALARM_GUNTEMPUP,FFcUaAcK
ALARM_GunLock,cFrQAuwz
ALARM_HEARTBEAT,tdURXFCl
ALARM_IDCUP,dmryFiZk
ALARM_INSDETFAIL,GWovcSpQ
ALARM_LOCK_CLOSE,KrrXBaIK
ALARM_LOCK_OPEN,EuamJIxl
ALARM_LOG_FLASH,PbQVIsZg
ALARM_METER_COM,eAxvEAja
ALARM_MIDCONT,vctjbgRr
ALARM_MOD,SPWdNzSW
ALARM_MODCOMFAULT,AupBErLe
ALARM_OUTLETTEMPUP,utuqJVjW
ALARM_PARAMODE_LOST,DPSnPTxi
ALARM_RESET,bHeQHPFq
ALARM_SHORT,tJVUWOsa
ALARM_SPD,qmGGcHni
ALARM_TCUCOM,vFykSOQt
ALARM_TYPE_NULL,BfuOMnQq
ALARM_VDCINV,FrPWBkFe
ALARM_VDCLOW,xArlkHyr
ALARM_VDCUP,AlhBOPvy
ALARM_VERSION,NEtXBdCs
ALARM_VGRIDLOW,KlnBvKMK
ALARM_VGRIDUP,wXaNfkcm
ALARM_WTCD_LIQLOW,XqMaIaUN
ALARM_WTCD_PRELOW,xuQzsOyq
ALARM_WTCD_PREOVER,VWDuhxuR
ALARM_WTCD_TMPLOW,pwhgYwTt
ALARM_WTCD_TMPOVER,gskeyUwM
Appli_state,FYTXOCQr
BAT_SINGLE,CnwrVeSW
BCDTOHEX,GmruSvQb
BCD_TO_BIN,NoXCDfcz
BCL_FRAME_TIMEOUT,rEXULDdy
BCP_FRAME_TIMEOUT,NWAVCJgn
BCS_FRAME_TIMEOUT,HWOdythR
BIGGER,FZoBMfxN
